Metabolite,G_SD_exp,G_SD_stat,GX_SD_exp,GX_SD_trans,GX_SD_stat,X_SD_exp,X_SD_stat,A_SD_exp,A_SD_stat,C_SD_exp,C_SD_stat,C_SD_exp (extracellular),C_SD_stat (extracellular)
glycolic acid,1103566.867,1382566.467,1616264.7,4167060.633,2862163.533,1537382.6,1227616.033,1640808.267,828443.2333,1115822.4,1200365.3,,
hydroxylamine*,2545128.133,4433063.533,2143567.6,4125617.967,6732393.433,2930557.7,4242549.067,1558921.567,2540073.467,20893.13333,17289.46667,,
inosine,580680.0333,1541925.267,501239.5,2671790.167,2439105.267,1048858.933,1371912.1,1304972,2593631.167,842311.3667,758414.2333,,
inositol phosphate*,165128.6,201575.9667,158063.2333,1429233.467,1468758.967,219733.3667,338456.5,237895.0333,262780.6,88923.2,164101.5667,,
L-alanine,4160619.467,1751091.367,3689591.9,1335335.933,1809873.167,2384694.467,1696933.667,2313077.6,1923450.7,1046608.267,1742888.233,,
L-arabinose,565546.0333,714761.7667,697314.8667,8214807.167,4562744.8,1283549.067,170920.0667,39682143.8,280832.9333,423256.1,258300.4667,,
L-aspartic acid,306867.7,16491787.73,479026.4667,2093506.767,11568817.33,499004.6,15121220.7,1335629,14504028.43,1389805.3,2374873.233,,
L-glutamic acid,27789249.77,66886976.3,16314401.13,10182422.3,50315583.77,2508794.567,55146932.03,10251690.57,58472251.43,37570785.63,40398250.97,,
L-leucine,2782753.033,1024274.033,267252.9333,555490.8333,1248604.4,615144.1333,1080249.1,594747.6,1176209.467,168316.7667,221127,,
L-lysine,0,0,0,2091913.567,15633298.87,0,0,0,0,0,0,,
L-ornithine,1178498.133,46796963.8,249591.3,76452995.03,132159660.6,965379.9667,33160756.1,2005155.2,16354266.5,590610.9667,353665.4,,
L-phenylalanine,1542606.733,1636015.333,1483483.567,1959496.433,2293684.867,1071189.833,1205325.833,1072988.433,1684763.867,1738524,1476434.533,,
L-proline,3328762.8,3173472,1035788.133,2102405.4,3839943.033,1107450.767,3082996.4,1337710.4,2381250.367,291418.2333,523755.4667,,
L-pyroglutamic acid,36478502.33,53152617.47,27801925.5,19247145.1,29138114.73,60705907.7,53229626.1,43473867.07,51681535.37,44279607.1,65785197.37,,
L-serine,3188615.333,2410666.7,1398935.733,887137.6667,879589.2667,4396810.4,926814,1883470.267,809785.2667,547710.1333,1344869.867,,
L-threonine,15158979.03,10560366.07,10120839.13,1714729.567,4925418.2,3194622.233,5593553.6,3082897.333,7825300.5,1618441.367,3227502.367,,
L-tyrosine,8565443.2,8914720.533,6388926.233,8328549.7,9187849.833,3606781.067,11312151.07,4128261,11898251.87,5167122.167,4596139.133,,
L-valine,19928540.53,8328829.733,13469175.7,5552362.933,7691391.667,7092146.333,6925343.767,5231633.733,7527995.767,1626396.7,2802235.533,,
lactic acid,1756901.533,1310328.967,1437257.133,1812016.3,1448994.7,1495223.033,884388.1667,1607283.167,1887785.5,1044476.933,1519356.533,,
lactose,14951592.13,9121950.6,11359067.97,4248213.167,1942698.267,13619956.9,6018339.3,9621754.3,8558114.3,11915872.03,14380362.47,,
lactulose,2024929.933,2341159.633,2197286.7,893164.2333,1122050.7,1561527.3,1413036.433,981430.9333,3317977.933,1245208.067,1240418.2,,
malonic acid,0,0,0,0,0,0,0,145311.1333,0,343892.0333,2807309.333,,
mannose-6-phosphate*,1279867.867,889853.2,609231.6667,302747.9,509164.5667,4502312.3,815653.5333,1532044.767,930592.1,623046.4,1453259.1,,
melibiose,1392.733333,541872.9,0,1369087.367,1429990.3,292774.7333,819968.4667,378691.5,325909.1667,0,0,,
methyl phosphate*,5900103.4,9010622.333,5594580.8,16145306.27,7798469.767,17081899.97,11393024.47,14156810.07,9759090.967,1054884.4,682543.6667,,
methylcitiric acid*,5084452.733,194424.5,4876480.033,792609.6667,363045.6333,974893.4,18227.7,45003.33333,27441.73333,736584.9,837486.0667,,
myo-inositol,33227328.03,44031484.47,33794732.47,28149891.57,42424383.23,28209557.23,64358116.8,17311083.53,28887011.63,43792791.77,18277399.13,,
N-acetyl-D-mannosamine,531422.3667,681731.1667,798135.6333,2297810.733,1178978.7,1159099,471694.9333,1134566.967,672980.1,622288.5,983714.4667,,
N-acetyl-L-glutamic acid,369427.3333,0,80874.06667,0,0,0,0,0,0,98477.93333,692714.9667,,
oxalic acid,1137773.733,942114.7333,780543.4667,1215433.467,1608004.333,1013296.4,1076691.8,1214595.767,860410.8667,716429.4,947874.3667,,
palmitic acid,629758.6667,655371.2667,723049.8667,1139882.067,1033991.633,747910,649298.3667,613728.8667,682580.1333,455280.1,431296.5333,,
phosphate ion,3421488.9,5816746.267,3147175.133,7109036.033,5288340.7,4975509.733,7255569.967,5574517.867,6450813.7,1961565.8,2214445.967,,
phosphoenolpyruvic acid,1006015.1,2912212.7,714650.1333,2851232.333,4998408,772940.6667,2641915.633,1213757.733,2569803.367,1201471.933,642089.7,,
porphine,452209.8667,350328.7333,356996.1333,237985.0667,337975.6667,365686.1,351548.4333,413485.4667,437956.9667,708015.0333,534917.0667,,
pyrophosphate,108564.1,6709967.767,2182210.8,4409252.467,12712192.47,112299.9333,3395392.967,3385494.933,3926172.5,0,63733.2,,
pyruvic acid,192782.7333,107474.9,152651.6,70719.66667,144605.8667,126491.1667,64703.63333,128713.9333,95499.63333,79758.56667,127617.2333,,
ribitol,17871150.2,964141.8,26570753.6,77795271.53,57343865.1,92412877.5,2159962.167,69591646.43,1437001.733,51734417.57,50194085.13,,
ribonic acid,514387.8667,1548391.9,636572.5333,2197037.867,1457085.867,2299596.7,612033.2,2575319.933,1332070.3,173769.0333,238274.9,,
ribonic acid-gamma-lactone,0,0,0,0,0,0,611986.5667,822582.8667,1802348,0,0,,
sedopeptulose,2659095,3257166.4,2037863.633,5770603.6,5086478.767,4050519.233,4613620.767,3251371.067,3989659.7,442970.9,660609.8333,,
sedopeptulose 7-phosphate,1753672.133,1580689.9,955036.0667,3854680.4,3619127.667,3932409.833,1988817.5,2910435.767,2406619,1355090.133,2758925.4,,
stearic acid,691211.2333,734325.4667,610933.5333,630610.8333,787502.4667,727419.9,649274.5667,657203.3667,679426.6333,632905.6,713039.0333,,
succinic acid,16284298.7,2017770.6,14633562.13,18550799.9,15718251.87,12784880.63,10197330.93,13105116.2,10184937.4,14319649.53,19518642.7,,
threose,12237.5,8197.833333,173617.3333,871214.0333,420802.3333,10977.43333,5855.533333,391783.2333,126042.1,3896.566667,23245.13333,,
trehalose,208230455.4,242650026,192078415.4,231195179.7,257336679.8,190776120.2,252786480.6,208559825.3,239848474.1,164085776.3,172953536.6,,
uracil,6248695,2622551.3,4367596.467,6178583.467,6338567.833,4617594.133,5194772.133,2457836.067,4251212.267,3246806.367,4073874.4,,
urea,569905.8667,5560054.7,144929.8,15877567.17,52974197.93,8392519.033,14617826.8,189169.3333,5818635.767,2238484,209959.3667,,
uridine,1201757.5,1463480.9,939279.2333,2355352.6,1849094,2086175,2015613,2553446.167,1381034.5,239164.1,236651.4667,,
xylitol,2717117.1,575658.6667,89945452.8,110973772.1,63752921.97,15502648.87,769355.5667,56701346.1,544269.9333,3502490.3,2289229.3,,
xylonic acid*,3291218.933,1207143.167,1237775.333,7454753.767,5557410.933,45563604.37,21238297.1,10782454.77,3992999.133,467412.4667,619591.9,,
Unknown 001,1184180.8,367927.3667,908630.2333,828121.0333,1515042.733,973079.9,351348.4667,865627.3,266502,551622.5,200552.6333,,
